	data/results/SRR23879090/variants/SRR23879090.tsv
summarized	[('Omicron', 0.998998213006167)]
lineages	BF.25 XAN BA.5.5 BA.5.1 BA.5.1.17 BA.5.1.24 BA.5.1.14 BA.5.1.12 BA.5.1.35 BA.5.1.23 BA.5.1.30 BA.5.1.2 BA.5.1.16 BA.5.1.28 BA.5.1.25 BA.5.1.10 BA.5.1.19 BA.5.1.29 DJ.1 BK.1 BA.5.1.20 BA.5
abundances	0.46643199 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030
resid	2.1863465999460403
coverage	35.979667591880414
