	summarized	lineages	abundances	resid	coverage
SRR23610502.tsv	[('Omicron', 0.9966075908193971)]	BG.5 BG.7 BA.2.50 BA.2.12.2 BA.2.12.1 BA.4.1.3 BA.4.1.6 BA.4.1.4 BA.4.1.9 BA.4.1 BA.4.8 XAS BA.2.29 BA.2.1 BA.2.64 BA.2.41 BA.2.24 BA.2.31 BA.2.4 BA.2.10 BA.2.27 BA.2.65 BA.2.5 BA.2.30 BA.2.56 BA.2.28 BA.2.11 BA.2.61 BA.2.10.3 BA.2.10.2 BA.2.32 BA.2.26 BA.2.55 BA.2.31.1 BA.2.70 BA.2.3 BA.2.40.1 CS.1 BA.4.1.10	0.29272641 0.29272303 0.07066099 0.04167300 0.04167300 0.02024538 0.02024538 0.02024538 0.02024538 0.02024538 0.01095782 0.01095782 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00269616 0.00140673 0.00119624 0.00117553 0.00117553	3.1720599827520894	49.13553824031034
SRR23879091.tsv	[('Omicron', 0.9999290875613233)]	BA.5.11 BA.5.12 BF.16 BF.7.24 BF.7.6 BF.7.7 BF.7.16 BF.7.20 BF.7.1 BF.7.18 BF.7.23 BF.7.12 BF.1 BF.35 BF.36 BF.29 BF.7.4 BF.7.13 BF.7.3 BF.7.26 BF.3 BF.38.2 BF.7.15 BA.5.2.1 BF.8 BF.18 BF.6 BF.31 BF.41 BF.39 BF.38 BF.4 BF.30 BF.14 BF.2 BF.28 BF.7 BF.23 BF.7.22 BA.5.2 BF.7.4.1 BF.7.4.2 BF.1.1 BF.39.1 BF.7.5 BF.7.11 BF.7.13.2 BA.5.2.54 BA.5.2.43 CP.2 CP.3 BA.5.2.13 BU.1 BZ.2 BA.5.2.32 CK.2.1 CK.2 CK.1.1 BA.5.2.63 BA.5.2.8 CF.1 BA.5.2.25 BA.5.2.35 BA.5.2.58 CP.1.2 CP.1.3 BV.1 CD.2 CK.1.3 DB.2 CR.1.1 BA.5.2.16 BA.5.2.44 BA.5.2.38 CK.1 BA.5.2.3 CT.1 DA.1 BA.5.2.37 BA.5.2.52 BA.5.2.61 BA.5.2.29 CP.5 CP.1 CE.1 CK.1.5 CR.1 CR.2 BV.2 BA.5.2.56 BA.5.2.24 BA.5.2.12 BA.5.2.57 BA.5.2.31 BA.5.2.18 BA.5.2.20 BA.5.2.33 BA.5.2.62 BA.5.2.6 BA.5.2.28 BA.5.2.27 BA.5.2.22 BA.5.2.36 CK.1.1.1	0.66988151 0.12290631 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00214893 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753 0.00193753	1.1964997451726611	21.934254088218573
SRR23879090.tsv	[('Omicron', 0.998998213006167)]	BF.25 XAN BA.5.5 BA.5.1 BA.5.1.17 BA.5.1.24 BA.5.1.14 BA.5.1.12 BA.5.1.35 BA.5.1.23 BA.5.1.30 BA.5.1.2 BA.5.1.16 BA.5.1.28 BA.5.1.25 BA.5.1.10 BA.5.1.19 BA.5.1.29 DJ.1 BK.1 BA.5.1.20 BA.5	0.46643199 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030 0.02536030	2.1863465999460403	35.979667591880414
SRR23610503.tsv	[('Omicron', 0.6408502315639991), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.3545047088799689)]	XBB.1.5.80 BA.4.8 XAS BF.19	0.35450471 0.31829525 0.31829525 0.00425973	7.159712410186227	37.21700163863157
SRR39226689.tsv	[('Other', 0.5608356987396801), ('XFG* (XFG.X)', 0.43122712452371476)]	XFG.1 XDD.2 XDD.1 XDD XFG.1.1 XFG.1.1.2 XFG.1.1.6 XFG.1.1.5 XGQ XGV QK.4 XDS XFG.28	0.23009317 0.18230581 0.18230581 0.18230581 0.04948547 0.04948547 0.04948547 0.04948547 0.00938967 0.00313972 0.00180832 0.00138889 0.00138375	9.95042105807908	17.70390930675852
SRR39226698.tsv	[('Other', 0.5403263915377423), ('XFG* (XFG.X)', 0.45021309833925793), ('BA.2.86* (BA.2.86.X)', 0.007434990543421036)]	XGH XFG.3.19 XFG.14.5 LF.7.1.11 XFG.3.3.1 XFG.3.9 XFG.38 XFG.14 XFG.3.1 XFG.3.14 XFG.3.16 XFG.3.4 XFG.3.5.2 XFG.3.3.2 XFG.3.6.3 XFG.3.3 XFG.3.6.4 XFG.17.2 XFG.3.1.9 XFG.3.1.2 XFG.3.1.10 XFG.3.1.3 XFG.3.1.6 XFG.3.1.1 XFG.3.1.5 XFG.3.13.1 XFG.3.10.1 XFG.3.6 XFG.3.24 XFG.3.4.8 XFG.3.33 XFG XFG.23 XFG.1 XFG.17 XFG.3 XFG.16 XFG.19 XFG.3.8 XFG.3.20 XFG.37 XFG.17.1 XFG.17.3 XFG.3.2 XFG.3.22 XFG.3.13 XFG.3.12 XFG.3.10 XFG.3.11 XFG.3.7 XFG.3.30 XFG.3.29 XFG.3.18 XFG.3.5 XFG.3.4.9 QF.1.1.1 XFG.3.1.4 XFG.3.1.8 QF.3 QF.6 QF.2 XFG.3.4.4 XFG.14.1.6 XFG.14.1.2 XFG.14.1.10 XFG.14.1.8 XFG.14.1.4 QF.2.5 QF.2.6 QF.2.2 XFG.14.1.5 RL.1 XFG.14.1.7 XFG.14.1.9 XFG.14.1.1 XGE XGF QF.1 QF.1.1 QF.2.2.1 SD.1 XFG.3.4.2 XFG.3.4.6 XFG.3.6.1 QK.3 SE.1 SP.1 XFG.14.7 XFG.14.8 XFG.14.2 XFG.14.9 XFG.14.1 XFG.3.5.1 XFG.14.6 XFG.14.10 XFG.3.1.7 XFG.3.30.2 XFG.3.16.1 XFG.3.4.7 XFG.3.4.1 QT.3 QT.1 XFG.3.18.1 XFG.3.28 SE.2 XFG.5.4.2 QS.4 XFG.3.17 XFG.3.12.1 XFG.35 XFG.3.27.1 RF.5 RF.5.3	0.53224500 0.01818180 0.01785709 0.00479606 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00371747 0.00301205 0.00289017 0.00183150 0.00135684 0.00133728 0.00131946 0.00131946	2.879085012273115	17.76410393605993
