	data/results/SRR39226698/variants/SRR39226698.tsv
summarized	[('Other', 0.5403263915377423), ('XFG* (XFG.X)', 0.45021309833925793), ('BA.2.86* (BA.2.86.X)', 0.007434990543421036)]
lineages	XGH XFG.3.19 XFG.14.5 LF.7.1.11 XFG.3.3.1 XFG.3.9 XFG.38 XFG.14 XFG.3.1 XFG.3.14 XFG.3.16 XFG.3.4 XFG.3.5.2 XFG.3.3.2 XFG.3.6.3 XFG.3.3 XFG.3.6.4 XFG.17.2 XFG.3.1.9 XFG.3.1.2 XFG.3.1.10 XFG.3.1.3 XFG.3.1.6 XFG.3.1.1 XFG.3.1.5 XFG.3.13.1 XFG.3.10.1 XFG.3.6 XFG.3.24 XFG.3.4.8 XFG.3.33 XFG XFG.23 XFG.1 XFG.17 XFG.3 XFG.16 XFG.19 XFG.3.8 XFG.3.20 XFG.37 XFG.17.1 XFG.17.3 XFG.3.2 XFG.3.22 XFG.3.13 XFG.3.12 XFG.3.10 XFG.3.11 XFG.3.7 XFG.3.30 XFG.3.29 XFG.3.18 XFG.3.5 XFG.3.4.9 QF.1.1.1 XFG.3.1.4 XFG.3.1.8 QF.3 QF.6 QF.2 XFG.3.4.4 XFG.14.1.6 XFG.14.1.2 XFG.14.1.10 XFG.14.1.8 XFG.14.1.4 QF.2.5 QF.2.6 QF.2.2 XFG.14.1.5 RL.1 XFG.14.1.7 XFG.14.1.9 XFG.14.1.1 XGE XGF QF.1 QF.1.1 QF.2.2.1 SD.1 XFG.3.4.2 XFG.3.4.6 XFG.3.6.1 QK.3 SE.1 SP.1 XFG.14.7 XFG.14.8 XFG.14.2 XFG.14.9 XFG.14.1 XFG.3.5.1 XFG.14.6 XFG.14.10 XFG.3.1.7 XFG.3.30.2 XFG.3.16.1 XFG.3.4.7 XFG.3.4.1 QT.3 QT.1 XFG.3.18.1 XFG.3.28 SE.2 XFG.5.4.2 QS.4 XFG.3.17 XFG.3.12.1 XFG.35 XFG.3.27.1 RF.5 RF.5.3
abundances	0.53224500 0.01818180 0.01785709 0.00479606 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00404070 0.00371747 0.00301205 0.00289017 0.00183150 0.00135684 0.00133728 0.00131946 0.00131946
resid	2.879085012273115
coverage	17.76410393605993
