	data/results/SRR23610502/variants/SRR23610502.tsv
summarized	[('Omicron', 0.9966075908193971)]
lineages	BG.5 BG.7 BA.2.50 BA.2.12.2 BA.2.12.1 BA.4.1.3 BA.4.1.6 BA.4.1.4 BA.4.1.9 BA.4.1 BA.4.8 XAS BA.2.29 BA.2.1 BA.2.64 BA.2.41 BA.2.24 BA.2.31 BA.2.4 BA.2.10 BA.2.27 BA.2.65 BA.2.5 BA.2.30 BA.2.56 BA.2.28 BA.2.11 BA.2.61 BA.2.10.3 BA.2.10.2 BA.2.32 BA.2.26 BA.2.55 BA.2.31.1 BA.2.70 BA.2.3 BA.2.40.1 CS.1 BA.4.1.10
abundances	0.29272641 0.29272303 0.07066099 0.04167300 0.04167300 0.02024538 0.02024538 0.02024538 0.02024538 0.02024538 0.01095782 0.01095782 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00574357 0.00269616 0.00140673 0.00119624 0.00117553 0.00117553
resid	3.1720599827520894
coverage	49.13553824031034
