Run,amplicon_PCR_primer_scheme (run),Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,concentration_method,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dehosting_method (run),enrichment_kit (run),Experiment,extraction_control,extraction_method,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,purpose_of_ww_sampling,ReleaseDate,create_date,version,Sample Name,sequenced_by,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_site,ww_sample_type,ww_surv_system_sample_id,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_known_present,ww_surv_target_1,ww_surv_jurisdiction,Sample_name,sample_title,sequence_submitter_contact_email (run),ww_surv_target_1_protocol
SRR39239879,ARTIC V5.3.2,AMPLICON,487,5401329028,PRJNA1027353,SAMN61018854,SARS-CoV-2: wastewater surveillance,1826540150,VERILY_WW_NWSS,2026-06-15,Ceres Nanotrap Microbiome A,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR,SRX33980108,bcov vaccine,Thermo Fisher MagMAX Viral/Pathogen Nucleic Acid Isolation kit and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,Illumina NovaSeq 6000,wastewater,VLT_1911-260615.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2026-06-20T00:00:00Z,2026-06-20T13:56:00Z,1,VLT_1911-260615,Verily Life Sciences,SRP473785,150000,24,raw wastewater,wastewater treatment plant,composite,1911-260615,16231.016467450982,copies/L wastewater,N gene,yes,SARS-CoV-2,CA,VLT_1911-260615,SARS-CoV-2: wastewater surveillance sample from wastewater metagenome,,
SRR39239881,ARTIC V5.3.2,AMPLICON,348,6456856226,PRJNA1027353,SAMN61018845,SARS-CoV-2: wastewater surveillance,2184023820,VERILY_WW_NWSS,2026-06-15,Ceres Nanotrap Microbiome A,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR,SRX33980106,bcov vaccine,Thermo Fisher MagMAX Viral/Pathogen Nucleic Acid Isolation kit and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,Illumina NovaSeq 6000,wastewater,VLT_1945-260615.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2026-06-20T00:00:00Z,2026-06-20T13:51:00Z,1,VLT_1945-260615,Verily Life Sciences,SRP473785,230000,24,post grit removal,wastewater treatment plant,composite,1945-260615,1890.6499686033185,copies/L wastewater,N gene,yes,SARS-CoV-2,CA,VLT_1945-260615,SARS-CoV-2: wastewater surveillance sample from wastewater metagenome,,
