Run,amplicon_PCR_primer_scheme (run),Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,concentration_method,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dehosting_method (run),enrichment_kit (run),Experiment,extraction_control,extraction_method,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,purpose_of_ww_sampling,ReleaseDate,create_date,version,Sample Name,sequenced_by,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_site,ww_sample_type,ww_surv_system_sample_id,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_known_present,ww_surv_target_1,ww_surv_jurisdiction,Sample_name,sample_title,sequence_submitter_contact_email (run),ww_surv_target_1_protocol
SRR39039604,ARTIC V5.3.2,AMPLICON,463,1099665752,PRJNA1027353,SAMN60678244,SARS-CoV-2: wastewater surveillance,388940243,VERILY_WW_NWSS,2026-05-26,Ceres Nanotrap Microbiome A,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR,SRX33790514,bcov vaccine,Thermo Fisher MagMAX Viral/Pathogen Nucleic Acid Isolation kit and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,Illumina NovaSeq 6000,wastewater,VLT_2066-260526.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2026-06-07T00:00:00Z,2026-06-07T13:21:00Z,1,VLT_2066-260526,Verily Life Sciences,SRP473785,127000,0,primary sludge,wastewater treatment plant,grab,2066-260526,1901.4875454600303,copies/L wastewater,N gene,yes,SARS-CoV-2,CA,VLT_2066-260526,SARS-CoV-2: wastewater surveillance sample from wastewater metagenome,,
SRR39039625,ARTIC V5.3.2,AMPLICON,378,1725731962,PRJNA1027353,SAMN60678326,SARS-CoV-2: wastewater surveillance,599196662,VERILY_WW_NWSS,2026-06-02,Ceres Nanotrap Microbiome A,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR,SRX33790492,bcov vaccine,Thermo Fisher MagMAX Viral/Pathogen Nucleic Acid Isolation kit and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,Illumina NovaSeq 6000,wastewater,VLT_1579-260602.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2026-06-07T00:00:00Z,2026-06-07T13:20:00Z,1,VLT_1579-260602,Verily Life Sciences,SRP473785,14465,24,post grit removal,wastewater treatment plant,composite,1579-260602,11036.835565900454,copies/L wastewater,N gene,yes,SARS-CoV-2,CA,VLT_1579-260602,SARS-CoV-2: wastewater surveillance sample from wastewater metagenome,,
SRR39039631,ARTIC V5.3.2,AMPLICON,406,1151677043,PRJNA1027353,SAMN60678260,SARS-CoV-2: wastewater surveillance,413536792,VERILY_WW_NWSS,2026-06-02,Ceres Nanotrap Microbiome A,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR,SRX33790486,bcov vaccine,Thermo Fisher MagMAX Viral/Pathogen Nucleic Acid Isolation kit and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,Illumina NovaSeq 6000,wastewater,VLT_1988-260602.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2026-06-07T00:00:00Z,2026-06-07T13:21:00Z,1,VLT_1988-260602,Verily Life Sciences,SRP473785,30000,24,post grit removal,wastewater treatment plant,composite,1988-260602,1558.282289254902,copies/L wastewater,N gene,yes,SARS-CoV-2,CA,VLT_1988-260602,SARS-CoV-2: wastewater surveillance sample from wastewater metagenome,,
