lineage,summarized_lineage
KP.2.4,BA.2.86.X
KP.2.5,BA.2.86.X
KP.2.6,BA.2.86.X
KP.2.6.1,BA.2.86.X
KP.2.6.2,BA.2.86.X
KP.2.6.3,BA.2.86.X
KP.2.6.4,BA.2.86.X
KP.2.7,BA.2.86.X
KP.2.8,BA.2.86.X
KP.2.9,BA.2.86.X
KP.3,KP.3.X
KP.3.1,KP.3.X
KP.3.1.1,KP.3.1.1.X
KP.3.1.10,KP.3.X
KP.3.1.11,KP.3.X
KP.3.1.12,KP.3.X
KP.3.1.2,KP.3.X
KP.3.1.3,KP.3.X
KP.3.1.4,KP.3.X
KP.3.1.5,KP.3.X
KP.3.1.6,KP.3.X
KP.3.1.7,KP.3.X
KP.3.1.8,KP.3.X
KP.3.1.9,KP.3.X
KP.3.2,KP.3.X
KP.3.2.1,KP.3.X
KP.3.2.2,KP.3.X
KP.3.2.3,KP.3.X
KP.3.2.4,KP.3.X
KP.3.2.5,KP.3.X
KP.3.2.6,KP.3.X
KP.3.2.7,KP.3.X
KP.3.2.8,KP.3.X
KP.3.2.9,KP.3.X
KP.3.3,KP.3.X
KP.3.3.1,KP.3.X
KP.3.3.10,KP.3.X
KP.3.3.2,KP.3.X
KP.3.3.3,KP.3.X
KP.3.3.4,KP.3.X
KP.3.3.5,KP.3.X
KP.3.3.6,KP.3.X
KP.3.3.7,KP.3.X
KP.3.3.8,KP.3.X
KP.3.3.9,KP.3.X
KP.3.4,KP.3.X
KP.3.4.1,KP.3.X
KP.3.5,KP.3.X
KP.3.6,KP.3.X
KP.3.7,KP.3.X
KP.4,BA.2.86.X
KP.4.1,BA.2.86.X
KP.4.1.1,BA.2.86.X
KP.4.1.2,BA.2.86.X
KP.4.1.3,BA.2.86.X
KP.4.2,BA.2.86.X
KP.4.2.1,BA.2.86.X
KP.4.2.2,BA.2.86.X
KP.4.2.3,BA.2.86.X
KP.4.2.4,BA.2.86.X
KP.4.2.5,BA.2.86.X
KP.4.2.6,BA.2.86.X
KP.5,BA.2.86.X
KP.6,BA.2.86.X
KP.7,BA.2.86.X
KP.7.1,BA.2.86.X
KQ.1,BA.2.86.X
KR.1,BA.2.86.X
KR.1.1,BA.2.86.X
KR.1.2,BA.2.86.X
KR.1.3,BA.2.86.X
KR.1.4,BA.2.86.X
KR.3,BA.2.86.X
KR.4,BA.2.86.X
KR.4.1,BA.2.86.X
KR.5,BA.2.86.X
KS.1,BA.2.86.X
KS.1.1,BA.2.86.X
KS.1.1.1,BA.2.86.X
KS.1.1.2,BA.2.86.X
KS.1.1.3,BA.2.86.X
KS.1.2,BA.2.86.X
KS.1.3,BA.2.86.X
KS.1.4,BA.2.86.X
KS.1.5,BA.2.86.X
KS.2,BA.2.86.X
KT.1,XBB.2.3.X
KT.1.1,XBB.2.3.X
KT.1.2,XBB.2.3.X
KU.1,BA.2.86.X
KU.2,BA.2.86.X
KU.2.1,BA.2.86.X
KU.2.2,BA.2.86.X
KV.1,BA.2.86.X
KV.2,BA.2.86.X
KW.1,BA.2.86.X
KW.1.1,BA.2.86.X
KW.1.1.1,BA.2.86.X
KW.1.2,BA.2.86.X
KY.1,BA.2.86.X
KZ.1,BA.2.86.X
KZ.1.1,BA.2.86.X
KZ.1.1.1,BA.2.86.X
LA.1,BA.2.86.X
LA.2,BA.2.86.X
LB.1,BA.2.86.X
LB.1.1,BA.2.86.X
LB.1.10,BA.2.86.X
LB.1.11,BA.2.86.X
LB.1.11.1,BA.2.86.X
LB.1.11.2,BA.2.86.X
LB.1.2,BA.2.86.X
LB.1.2.1,BA.2.86.X
LB.1.2.2,BA.2.86.X
LB.1.2.3,BA.2.86.X
LB.1.3,BA.2.86.X
LB.1.3.1,BA.2.86.X
LB.1.3.2,BA.2.86.X
LB.1.3.3,BA.2.86.X
LB.1.3.4,BA.2.86.X
LB.1.3.5,BA.2.86.X
LB.1.4,BA.2.86.X
LB.1.4.1,BA.2.86.X
LB.1.4.2,BA.2.86.X
LB.1.4.3,BA.2.86.X
LB.1.5,BA.2.86.X
LB.1.6,BA.2.86.X
LB.1.7,BA.2.86.X
LB.1.7.1,BA.2.86.X
LB.1.7.2,BA.2.86.X
LB.1.7.3,BA.2.86.X
LB.1.7.4,BA.2.86.X
LB.1.8,BA.2.86.X
LB.1.9,BA.2.86.X
LC.1,BA.2.86.X
LD.1,BA.2.86.X
LD.1.1,BA.2.86.X
LD.2,BA.2.86.X
LE.1,BA.2.86.X
LE.1.1,BA.2.86.X
LE.1.2,BA.2.86.X
LE.1.3,BA.2.86.X
LE.1.3.1,BA.2.86.X
LE.2,BA.2.86.X
LF.1,BA.2.86.X
LF.1.1,BA.2.86.X
LF.1.1.1,BA.2.86.X
LF.10,BA.2.86.X
LF.2,BA.2.86.X
LF.3,BA.2.86.X
LF.3.1,BA.2.86.X
LF.3.1.1,BA.2.86.X
LF.3.1.2,BA.2.86.X
LF.4,BA.2.86.X
LF.4.1,BA.2.86.X
LF.5,BA.2.86.X
LF.6,BA.2.86.X
LF.7,BA.2.86.X
LF.7.1,BA.2.86.X
LF.7.1.1,BA.2.86.X
LF.7.1.10,BA.2.86.X
LF.7.1.11,BA.2.86.X
LF.7.1.12,BA.2.86.X
LF.7.1.13,BA.2.86.X
LF.7.1.14,BA.2.86.X
LF.7.1.15,BA.2.86.X
LF.7.1.2,BA.2.86.X
LF.7.1.3,BA.2.86.X
LF.7.1.4,BA.2.86.X
LF.7.1.5,BA.2.86.X
LF.7.1.6,BA.2.86.X
LF.7.1.7,BA.2.86.X
LF.7.1.8,BA.2.86.X
LF.7.1.9,BA.2.86.X
LF.7.10,BA.2.86.X
LF.7.10.1,BA.2.86.X
LF.7.10.2,BA.2.86.X
LF.7.11,BA.2.86.X
LF.7.11.1,BA.2.86.X
LF.7.11.2,BA.2.86.X
LF.7.11.3,BA.2.86.X
LF.7.11.4,BA.2.86.X
LF.7.12,BA.2.86.X
LF.7.12.1,BA.2.86.X
LF.7.2,BA.2.86.X
LF.7.2.1,BA.2.86.X
LF.7.2.2,BA.2.86.X
LF.7.3,BA.2.86.X
LF.7.3.1,BA.2.86.X
LF.7.3.2,BA.2.86.X
LF.7.3.3,BA.2.86.X
LF.7.3.4,BA.2.86.X
LF.7.3.5,BA.2.86.X
LF.7.3.6,BA.2.86.X
LF.7.4,BA.2.86.X
LF.7.5,BA.2.86.X
LF.7.6,BA.2.86.X
LF.7.6.1,BA.2.86.X
LF.7.6.2,BA.2.86.X
LF.7.6.3,BA.2.86.X
LF.7.6.4,BA.2.86.X
LF.7.6.5,BA.2.86.X
LF.7.7,BA.2.86.X
LF.7.7.1,BA.2.86.X
LF.7.7.2,BA.2.86.X
LF.7.8,BA.2.86.X
LF.7.9,BA.2.86.X
LF.7.9.1,BA.2.86.X
LF.7.9.2,BA.2.86.X
LF.7.9.3,BA.2.86.X
LF.7.9.4,BA.2.86.X
LF.7.9.5,BA.2.86.X
LF.8,BA.2.86.X
LF.8.1,BA.2.86.X
LF.8.1.1,BA.2.86.X
LF.9,BA.2.86.X
LF.9.1,BA.2.86.X
LG.1,BA.2.86.X
LH.1,BA.2.86.X
LH.2,BA.2.86.X
LH.3,BA.2.86.X
LJ.1,BA.2.86.X
LK.1,BA.2.86.X
LK.2,BA.2.86.X
LK.2.1,BA.2.86.X
LL.1,BA.2.86.X
LM.1,BA.2.86.X
LN.1,BA.2.86.X
LN.1.1,BA.2.86.X
LP.1,BA.2.86.X
LP.1.1,BA.2.86.X
LP.1.2,BA.2.86.X
LP.1.2.1,BA.2.86.X
LP.10,BA.2.86.X
LP.10.1,BA.2.86.X
LP.10.1.1,BA.2.86.X
LP.11,BA.2.86.X
LP.2,BA.2.86.X
LP.3,BA.2.86.X
LP.4,BA.2.86.X
LP.5,BA.2.86.X
LP.6,BA.2.86.X
LP.7,BA.2.86.X
LP.8,BA.2.86.X
LP.8.1,LP.8.1.X
LP.8.1.1,LP.8.1.X
LP.8.1.10,LP.8.1.X
LP.8.1.11,LP.8.1.X
LP.8.1.12,LP.8.1.X
LP.8.1.13,LP.8.1.X
LP.8.1.14,LP.8.1.X
LP.8.1.15,LP.8.1.X
LP.8.1.16,LP.8.1.X
LP.8.1.2,LP.8.1.X
LP.8.1.3,LP.8.1.X
LP.8.1.4,LP.8.1.X
LP.8.1.5,LP.8.1.X
LP.8.1.6,LP.8.1.X
LP.8.1.7,LP.8.1.X
LP.8.1.8,LP.8.1.X
LP.8.1.9,LP.8.1.X
LP.8.2,BA.2.86.X
LP.8.2.1,BA.2.86.X
LP.9,BA.2.86.X
LQ.1,BA.2.86.X
LQ.1.1,BA.2.86.X
LQ.1.1.1,BA.2.86.X
LQ.1.2,BA.2.86.X
LQ.2,BA.2.86.X
LQ.3,BA.2.86.X
LR.1,BA.2.86.X
LR.2,BA.2.86.X
LR.3,BA.2.86.X
LS.1,BA.2.86.X
LS.2,BA.2.86.X
LS.2.1,BA.2.86.X
LS.2.1.1,BA.2.86.X
LT.1,BA.2.86.X
LU.1,BA.2.86.X
LU.2,BA.2.86.X
LU.2.1,BA.2.86.X
LU.2.1.1,BA.2.86.X
LU.2.2,BA.2.86.X
LV.1,BA.2.86.X
LV.2,BA.2.86.X
LW.1,KP.3.X
LW.1.1,KP.3.X
LW.1.2,KP.3.X
LY.1,BA.2.86.X
LY.2,BA.2.86.X
LZ.1,BA.2.86.X
LZ.1.1,BA.2.86.X
LZ.2,BA.2.86.X
LZ.2.1,BA.2.86.X
LZ.2.1.1,BA.2.86.X
LZ.2.1.2,BA.2.86.X
LZ.2.2,BA.2.86.X
LZ.3,BA.2.86.X
LZ.4,BA.2.86.X
LZ.5,BA.2.86.X
MA.1,BA.2.86.X
MA.1.1,BA.2.86.X
MA.1.1.1,BA.2.86.X
MA.1.2,BA.2.86.X
MB.1,BA.2.86.X
MB.1.1,BA.2.86.X
MB.1.1.1,BA.2.86.X
MB.1.1.2,BA.2.86.X
MB.1.1.3,BA.2.86.X
MC.1,KP.3.1.1.X
MC.1.1,KP.3.1.1.X
MC.1.1.1,KP.3.1.1.X
MC.1.2,KP.3.1.1.X
MC.1.3,KP.3.1.1.X
MC.1.3.1,KP.3.1.1.X
MC.1.4,KP.3.1.1.X
MC.1.4.1,KP.3.1.1.X
MC.1.5,KP.3.1.1.X
MC.1.6,KP.3.1.1.X
MC.1.7,KP.3.1.1.X
MC.10,KP.3.1.1.X
MC.10.1,KP.3.1.1.X
MC.10.1.1,KP.3.1.1.X
MC.10.1.2,KP.3.1.1.X
MC.10.1.3,KP.3.1.1.X
MC.10.1.4,KP.3.1.1.X
MC.10.1.5,KP.3.1.1.X
MC.10.1.6,KP.3.1.1.X
MC.10.1.7,KP.3.1.1.X
MC.10.1.8,KP.3.1.1.X
MC.10.2,KP.3.1.1.X
MC.10.2.1,KP.3.1.1.X
MC.10.2.2,KP.3.1.1.X
MC.10.2.3,KP.3.1.1.X
MC.11,KP.3.1.1.X
MC.11.1,KP.3.1.1.X
MC.11.2,KP.3.1.1.X
MC.11.3,KP.3.1.1.X
MC.11.3.1,KP.3.1.1.X
MC.12,KP.3.1.1.X
MC.13,KP.3.1.1.X
MC.13.1,KP.3.1.1.X
MC.13.2,KP.3.1.1.X
MC.13.2.1,KP.3.1.1.X
MC.13.2.2,KP.3.1.1.X
MC.13.2.3,KP.3.1.1.X
MC.13.2.4,KP.3.1.1.X
MC.13.3,KP.3.1.1.X
MC.13.3.1,KP.3.1.1.X
MC.13.4,KP.3.1.1.X
MC.14,KP.3.1.1.X
MC.15,KP.3.1.1.X
MC.16,KP.3.1.1.X
MC.17,KP.3.1.1.X
MC.17.1,KP.3.1.1.X
MC.18,KP.3.1.1.X
MC.18.1,KP.3.1.1.X
MC.18.2,KP.3.1.1.X
MC.19,KP.3.1.1.X
MC.19.1,KP.3.1.1.X
MC.19.1.1,KP.3.1.1.X
MC.2,KP.3.1.1.X
MC.2.1,KP.3.1.1.X
MC.20,KP.3.1.1.X
MC.21,KP.3.1.1.X
MC.21.1,KP.3.1.1.X
MC.21.2,KP.3.1.1.X
MC.22,KP.3.1.1.X
MC.23,KP.3.1.1.X
MC.24,KP.3.1.1.X
MC.24.1,KP.3.1.1.X
MC.24.2,KP.3.1.1.X
MC.25,KP.3.1.1.X
MC.26,KP.3.1.1.X
MC.26.1,KP.3.1.1.X
MC.27,KP.3.1.1.X
MC.28,KP.3.1.1.X
MC.28.1,KP.3.1.1.X
MC.28.1.1,KP.3.1.1.X
MC.29,KP.3.1.1.X
MC.3,KP.3.1.1.X
MC.30,KP.3.1.1.X
MC.30.1,KP.3.1.1.X
MC.30.1.1,KP.3.1.1.X
MC.31,KP.3.1.1.X
MC.32,KP.3.1.1.X
MC.32.1,KP.3.1.1.X
MC.32.1.1,KP.3.1.1.X
MC.33,KP.3.1.1.X
MC.33.1,KP.3.1.1.X
MC.33.1.1,KP.3.1.1.X
MC.33.2,KP.3.1.1.X
MC.35,KP.3.1.1.X
MC.36,KP.3.1.1.X
MC.36.1,KP.3.1.1.X
MC.36.2,KP.3.1.1.X
MC.37,KP.3.1.1.X
MC.38,KP.3.1.1.X
MC.39,KP.3.1.1.X
MC.4,KP.3.1.1.X
MC.40,KP.3.1.1.X
MC.40.1,KP.3.1.1.X
MC.41,KP.3.1.1.X
MC.42,KP.3.1.1.X
MC.43,KP.3.1.1.X
MC.44,KP.3.1.1.X
MC.45,KP.3.1.1.X
MC.46,KP.3.1.1.X
MC.46.1,KP.3.1.1.X
MC.5,KP.3.1.1.X
MC.6,KP.3.1.1.X
MC.6.1,KP.3.1.1.X
MC.7,KP.3.1.1.X
MC.8,KP.3.1.1.X
MC.8.1,KP.3.1.1.X
MC.9,KP.3.1.1.X
MC.9.1,KP.3.1.1.X
MC.9.2,KP.3.1.1.X
MC.9.3,KP.3.1.1.X
MD.1,BA.2.86.X
MD.1.1,BA.2.86.X
MD.1.1.1,BA.2.86.X
MD.1.1.2,BA.2.86.X
MD.1.2,BA.2.86.X
MD.2,BA.2.86.X
MD.3,BA.2.86.X
MD.3.1,BA.2.86.X
MD.3.1.1,BA.2.86.X
MD.3.1.2,BA.2.86.X
MD.3.1.3,BA.2.86.X
MD.3.1.4,BA.2.86.X
MD.4,BA.2.86.X
MD.4.1,BA.2.86.X
ME.1,BA.2.86.X
MF.1,BA.2.86.X
MF.2,BA.2.86.X
MG.1,BA.2.86.X
MG.2,BA.2.86.X
MG.3,BA.2.86.X
MG.4,BA.2.86.X
MH.1,BA.2.86.X
MJ.1,BA.2.86.X
MJ.1.1,BA.2.86.X
MJ.2,BA.2.86.X
MJ.2.1,BA.2.86.X
MJ.2.1.1,BA.2.86.X
MK.1,KP.3.X
MK.2,KP.3.X
MK.3,KP.3.X
ML.1,KP.3.X
ML.2,KP.3.X
MM.1,KP.3.X
MM.2,KP.3.X
MN.1,BA.2.86.X
MP.1,BA.2.86.X
MP.1.1,BA.2.86.X
MQ.1,BA.2.86.X
MQ.2,BA.2.86.X
MR.1,KP.3.X
MR.2,KP.3.X
MS.1,BA.2.86.X
MT.1,BA.2.86.X
MT.1.1,BA.2.86.X
MU.1,BA.2.86.X
MU.1.1,BA.2.86.X
MU.2,BA.2.86.X
MU.2.1,BA.2.86.X
MU.2.1.1,BA.2.86.X
MU.3,BA.2.86.X
MU.4,BA.2.86.X
MU.5,BA.2.86.X
MU.6,BA.2.86.X
MV.1,BA.2.86.X
MV.1.1,BA.2.86.X
MV.1.1.1,BA.2.86.X
MV.1.2,BA.2.86.X
MV.1.3,BA.2.86.X
MV.1.3.1,BA.2.86.X
MV.1.3.2,BA.2.86.X
MV.1.4,BA.2.86.X
MV.1.4.1,BA.2.86.X
MV.1.5,BA.2.86.X
MV.1.6,BA.2.86.X
MV.1.7,BA.2.86.X
MV.1.8,BA.2.86.X
MV.1.9,BA.2.86.X
MV.2,BA.2.86.X
MV.3,BA.2.86.X
MW.1,BA.2.86.X
MY.1,KP.3.X
MZ.1,BA.2.86.X
MZ.2,BA.2.86.X
MZ.3,BA.2.86.X
MZ.4,BA.2.86.X
MZ.4.1,BA.2.86.X
MZ.5,BA.2.86.X
NA.1,BA.2.86.X
NA.1.1,BA.2.86.X
NA.2,BA.2.86.X
NB.1.8.1,NB.1.8.1.X
NC.1,BA.2.86.X
NC.1.1,BA.2.86.X
NC.1.2,BA.2.86.X
NC.1.2.1,BA.2.86.X
NC.1.2.2,BA.2.86.X
NC.2,BA.2.86.X
ND.1,BA.2.86.X
ND.1.1,BA.2.86.X
ND.1.1.1,BA.2.86.X
ND.1.1.2,BA.2.86.X
ND.1.1.3,BA.2.86.X
ND.2,BA.2.86.X
ND.2.1,BA.2.86.X
ND.3,BA.2.86.X
NE.1,BA.2.86.X
NF.1,BA.2.86.X
NF.1.1,BA.2.86.X
NF.1.2,BA.2.86.X
NF.1.3,BA.2.86.X
NF.1.4,BA.2.86.X
NF.1.5,BA.2.86.X
NG.1,BA.2.86.X
NH.1,BA.2.86.X
NH.2,BA.2.86.X
NH.3,BA.2.86.X
NH.4,BA.2.86.X
NJ.1,BA.2.86.X
NK.1,BA.2.86.X
NL.1,BA.2.86.X
NL.1.1,BA.2.86.X
NL.10,BA.2.86.X
NL.11,BA.2.86.X
NL.12,BA.2.86.X
NL.13,BA.2.86.X
NL.14,BA.2.86.X
NL.15,BA.2.86.X
NL.16,BA.2.86.X
NL.16.1,BA.2.86.X
NL.17,BA.2.86.X
NL.18,BA.2.86.X
NL.19,BA.2.86.X
NL.2,BA.2.86.X
NL.2.1,BA.2.86.X
NL.20,BA.2.86.X
NL.21,BA.2.86.X
NL.22,BA.2.86.X
NL.22.1,BA.2.86.X
NL.23,BA.2.86.X
NL.3,BA.2.86.X
NL.3.1,BA.2.86.X
NL.4,BA.2.86.X
NL.4.1,BA.2.86.X
NL.4.1.1,BA.2.86.X
NL.4.2,BA.2.86.X
NL.5,BA.2.86.X
NL.5.1,BA.2.86.X
NL.5.2,BA.2.86.X
NL.5.2.1,BA.2.86.X
NL.6,BA.2.86.X
NL.6.1,BA.2.86.X
NL.7,BA.2.86.X
NL.8,BA.2.86.X
NL.8.1,BA.2.86.X
NL.9,BA.2.86.X
NM.1,BA.2.86.X
NM.2,BA.2.86.X
NM.3,BA.2.86.X
NN.1,BA.2.86.X
NN.1.1,BA.2.86.X
NN.2,BA.2.86.X
NP.1,KP.3.X
NP.2,KP.3.X
NQ.1,KP.3.X
NR.1,KP.3.X
NS.1,BA.2.86.X
NS.1.1,BA.2.86.X
NS.1.2,BA.2.86.X
NS.2,BA.2.86.X
NS.3,BA.2.86.X
NT.1,BA.2.86.X
NT.2,BA.2.86.X
NT.2.1,BA.2.86.X
NT.3,BA.2.86.X
NT.4,BA.2.86.X
NT.5,BA.2.86.X
NU.1,BA.2.86.X
NV.1,KP.3.X
NW.1,LP.8.1.X
NW.1.1,LP.8.1.X
NW.1.1.1,LP.8.1.X
NW.1.2,LP.8.1.X
NW.1.2.1,LP.8.1.X
NW.1.2.2,LP.8.1.X
NW.1.2.3,LP.8.1.X
NW.1.2.4,LP.8.1.X
NW.1.2.5,LP.8.1.X
NW.1.2.6,LP.8.1.X
NW.1.3,LP.8.1.X
NW.1.4,LP.8.1.X
NW.1.5,LP.8.1.X
NW.1.6,LP.8.1.X
NW.1.7,LP.8.1.X
NW.1.7.1,LP.8.1.X
NW.1.7.2,LP.8.1.X
NW.1.7.3,LP.8.1.X
NW.1.7.4,LP.8.1.X
NW.1.8,LP.8.1.X
NW.2,LP.8.1.X
NW.3,LP.8.1.X
NW.3.1,LP.8.1.X
NW.3.2,LP.8.1.X
NY.1,LP.8.1.X
NY.1.1,LP.8.1.X
NY.1.2,LP.8.1.X
NY.1.2.1,LP.8.1.X
NY.10,LP.8.1.X
NY.11,LP.8.1.X
NY.11.1,LP.8.1.X
NY.12,LP.8.1.X
NY.12.1,LP.8.1.X
NY.13,LP.8.1.X
NY.13.1,LP.8.1.X
NY.13.2,LP.8.1.X
NY.13.2.1,LP.8.1.X
NY.13.3,LP.8.1.X
NY.13.3.1,LP.8.1.X
NY.14,LP.8.1.X
NY.15,LP.8.1.X
NY.15.1,LP.8.1.X
NY.15.2,LP.8.1.X
NY.16,LP.8.1.X
NY.16.1,LP.8.1.X
NY.16.2,LP.8.1.X
NY.17,LP.8.1.X
NY.17.1,LP.8.1.X
NY.17.2,LP.8.1.X
NY.18,LP.8.1.X
NY.18.1,LP.8.1.X
NY.19,LP.8.1.X
NY.2,LP.8.1.X
NY.20,LP.8.1.X
NY.20.1,LP.8.1.X
NY.21,LP.8.1.X
NY.22,LP.8.1.X
NY.23,LP.8.1.X
NY.24,LP.8.1.X
NY.25,LP.8.1.X
NY.25.1,LP.8.1.X
NY.26,LP.8.1.X
NY.26.1,LP.8.1.X
NY.26.2,LP.8.1.X
NY.26.3,LP.8.1.X
NY.26.4,LP.8.1.X
NY.3,LP.8.1.X
NY.3.1,LP.8.1.X
NY.3.1.1,LP.8.1.X
NY.3.1.2,LP.8.1.X
NY.3.1.3,LP.8.1.X
NY.3.2,LP.8.1.X
NY.3.3,LP.8.1.X
NY.3.3.1,LP.8.1.X
NY.3.4,LP.8.1.X
NY.3.5,LP.8.1.X
NY.3.6,LP.8.1.X
NY.3.7,LP.8.1.X
NY.3.7.1,LP.8.1.X
NY.3.8,LP.8.1.X
NY.4,LP.8.1.X
NY.4.1,LP.8.1.X
NY.5,LP.8.1.X
NY.6,LP.8.1.X
NY.7,LP.8.1.X
NY.7.1,LP.8.1.X
NY.7.1.1,LP.8.1.X
NY.7.1.2,LP.8.1.X
NY.7.2,LP.8.1.X
NY.8,LP.8.1.X
NY.9,LP.8.1.X
NZ.1,BA.2.86.X
P.1,Gamma
P.1.1,Gamma
P.1.10,Gamma
P.1.10.1,Gamma
P.1.10.2,Gamma
P.1.11,Gamma
P.1.12,Gamma
P.1.12.1,Gamma
P.1.13,Gamma
P.1.14,Gamma
P.1.15,Gamma
P.1.16,Gamma
P.1.17,Gamma
P.1.17.1,Gamma
P.1.2,Gamma
P.1.3,Gamma
P.1.4,Gamma
P.1.5,Gamma
P.1.6,Gamma
P.1.7,Gamma
P.1.7.1,Gamma
P.1.8,Gamma
P.1.9,Gamma
P.2,Zeta
P.3,Theta
PA.1,KP.3.1.1.X
PA.1.1,KP.3.1.1.X
PA.1.2,KP.3.1.1.X
PA.1.3,KP.3.1.1.X
PA.1.4,KP.3.1.1.X
PA.2,KP.3.1.1.X
PA.3,KP.3.1.1.X
PA.4,KP.3.1.1.X
PA.4.1,KP.3.1.1.X
PA.4.2,KP.3.1.1.X
PB.1,KP.3.X
PB.2,KP.3.X
PC.1,BA.2.86.X
PC.2,BA.2.86.X
PC.2.1,BA.2.86.X
PC.2.1.1,BA.2.86.X
PC.2.1.2,BA.2.86.X
PC.2.2,BA.2.86.X
PC.2.2.1,BA.2.86.X
PC.2.3,BA.2.86.X
PC.3,BA.2.86.X
PC.3.1,BA.2.86.X
PC.3.2,BA.2.86.X
PC.3.3,BA.2.86.X
PC.3.4,BA.2.86.X
PC.4,BA.2.86.X
PC.4.1,BA.2.86.X
PC.4.1.1,BA.2.86.X
PC.5,BA.2.86.X
PD.1,LP.8.1.X
PD.1.1,LP.8.1.X
PD.1.2,LP.8.1.X
PD.1.2.1,LP.8.1.X
PD.2,LP.8.1.X
PD.2.1,LP.8.1.X
PD.3,LP.8.1.X
PE.1,KP.3.1.1.X
PE.1.1,KP.3.1.1.X
PE.1.1.1,KP.3.1.1.X
PE.1.2,KP.3.1.1.X
PE.1.3,KP.3.1.1.X
PE.1.4,KP.3.1.1.X
PE.1.4.1,KP.3.1.1.X
PE.1.4.2,KP.3.1.1.X
PE.1.4.3,KP.3.1.1.X
PE.1.4.4,KP.3.1.1.X
PE.1.5,KP.3.1.1.X
PE.1.6,KP.3.1.1.X
PE.1.7,KP.3.1.1.X
PE.2,KP.3.1.1.X
PE.3,KP.3.1.1.X
PE.4,KP.3.1.1.X
PE.4.1,KP.3.1.1.X
PF.1,LP.8.1.X
PF.2,LP.8.1.X
PF.2.1,LP.8.1.X
PF.2.2,LP.8.1.X
PF.2.2.1,LP.8.1.X
PF.2.3,LP.8.1.X
PF.2.4,LP.8.1.X
PF.3,LP.8.1.X
PF.3.1,LP.8.1.X
PF.4,LP.8.1.X
PF.5,LP.8.1.X
PG.1,KP.3.X
PG.2,KP.3.X
PG.3,KP.3.X
PG.3.1,KP.3.X
PG.3.2,KP.3.X
PG.4,KP.3.X
PG.4.1,KP.3.X
PG.5,KP.3.X
PG.6,KP.3.X
PH.1,KP.3.1.1.X
PJ.1,KP.3.1.1.X
PK.1,BA.2.86.X
PK.1.1,BA.2.86.X
PL.1,BA.2.86.X
PL.1.1,BA.2.86.X
PL.1.2,BA.2.86.X
PL.2,BA.2.86.X
PL.3,BA.2.86.X
PL.4,BA.2.86.X
PL.5,BA.2.86.X
PL.6,BA.2.86.X
PM.1,KP.3.X
PM.1.1,KP.3.X
PM.1.2,KP.3.X
PM.2,KP.3.X
PM.3,KP.3.X
PP.1,LP.8.1.X
PP.1.1,LP.8.1.X
PP.1.1.1,LP.8.1.X
PP.1.2,LP.8.1.X
PP.2,LP.8.1.X
PP.2.1,LP.8.1.X
PQ.1,NB.1.8.1.X
PQ.1.1,NB.1.8.1.X
PQ.1.2,NB.1.8.1.X
PQ.1.3,NB.1.8.1.X
PQ.1.4,NB.1.8.1.X
PQ.1.5,NB.1.8.1.X
PQ.1.6,NB.1.8.1.X
PQ.1.6.1,NB.1.8.1.X
PQ.10,NB.1.8.1.X
PQ.10.1,NB.1.8.1.X
PQ.10.1.1,NB.1.8.1.X
PQ.10.1.2,NB.1.8.1.X
PQ.10.1.3,NB.1.8.1.X
PQ.10.1.4,NB.1.8.1.X
PQ.10.1.5,NB.1.8.1.X
PQ.11,NB.1.8.1.X
PQ.12,NB.1.8.1.X
PQ.13,NB.1.8.1.X
PQ.13.1,NB.1.8.1.X
PQ.13.2,NB.1.8.1.X
PQ.13.3,NB.1.8.1.X
PQ.13.3.1,NB.1.8.1.X
PQ.14,NB.1.8.1.X
PQ.14.1,NB.1.8.1.X
PQ.14.1.1,NB.1.8.1.X
PQ.14.2,NB.1.8.1.X
PQ.14.3,NB.1.8.1.X
PQ.14.3.1,NB.1.8.1.X
PQ.14.4,NB.1.8.1.X
PQ.15,NB.1.8.1.X
PQ.16,NB.1.8.1.X
PQ.16.1,NB.1.8.1.X
PQ.16.1.1,NB.1.8.1.X
PQ.17,NB.1.8.1.X
PQ.17.1,NB.1.8.1.X
PQ.17.10,NB.1.8.1.X
PQ.17.10.1,NB.1.8.1.X
PQ.17.11,NB.1.8.1.X
PQ.17.11.1,NB.1.8.1.X
PQ.17.11.2,NB.1.8.1.X
PQ.17.11.3,NB.1.8.1.X
PQ.17.12,NB.1.8.1.X
PQ.17.12.1,NB.1.8.1.X
PQ.17.13,NB.1.8.1.X
PQ.17.2,NB.1.8.1.X
PQ.17.2.1,NB.1.8.1.X
PQ.17.3,NB.1.8.1.X
PQ.17.4,NB.1.8.1.X
PQ.17.5,NB.1.8.1.X
PQ.17.6,NB.1.8.1.X
PQ.17.7,NB.1.8.1.X
PQ.17.7.1,NB.1.8.1.X
PQ.17.7.2,NB.1.8.1.X
PQ.17.8,NB.1.8.1.X
PQ.17.9,NB.1.8.1.X
PQ.18,NB.1.8.1.X
PQ.19,NB.1.8.1.X
PQ.2,NB.1.8.1.X
PQ.2.1,NB.1.8.1.X
PQ.2.1.1,NB.1.8.1.X
PQ.2.1.10,NB.1.8.1.X
PQ.2.1.11,NB.1.8.1.X
PQ.2.1.12,NB.1.8.1.X
PQ.2.1.13,NB.1.8.1.X
PQ.2.1.14,NB.1.8.1.X
PQ.2.1.15,NB.1.8.1.X
